id,title,year,technique,description
bienz_A_bild_01,Psychodelic Journey,2016,Collage aus Zeitschriften,Arbeit im Vorkursfach Grafik zum Thema Drogenkonsum.
bienz_A_bild_02,Eggocalypse,2016,Collage aus Zeitschriften,"Eggocalypse, 2016, Collage aus Zeitschriften. Freie Arbeit inspiriert durch Unterricht."
bienz_A_bild_03,Heaven of a Trip,2016,Collage aus Zeitschriften,Arbeit im Vorkursfach Grafik zum Thema Drogenkonsum.
bienz_A_bild_04,Surf-Face,2016,Collage aus Zeitschriften,Freie Arbeit inspiriert durch Unterricht.
bienz_A_bild_05,Agglomeration,2016,Fineliner und Filzstift auf Papier,Impression aus dem Fenster im Vorkursfach Zeichnen.
bienz_A_bild_06,Inspirationsraum,2016,Fineliner und Filzstift auf Papier,"Atelier von Markus Weiss, Lehrer im Vorkursfach Zeichnen."
bienz_A_bild_07,Chimären I,2017,Fineliner und Filzstift auf Papier,Freie Arbeit inspiriert von Alice im Wunderland.
bienz_A_bild_08,Chimären II,2017,Fineliner und Filzstift auf Papier,Freie Arbeit inspiriert von Alice im Wunderland.
bienz_A_bild_09,Indorus Flos,2016,Tonskulptur,Teil des Tryptichons Sinnentleert. Entstanden im Vorkursfach Dreidimensionale Gestaltung zum Thema Leere.
bienz_A_bild_10,Caecus Spectaculis,2016,Tonskulptur,Teil des Tryptichons Sinnentleert. Entstanden im Vorkursfach Dreidimensionale Gestaltung zum Thema Leere.
bienz_A_bild_11,Bliteus Frugalis,2016,Tonskulptur,Teil des Tryptichons Sinnentleert. Entstanden im Vorkursfach Dreidimensionale Gestaltung zum Thema Leere.
bienz_A_bild_12,Skizzenbuch,2017,Fineliner und Filzstift auf Papier,Ausgewählte Skizzenseiten aus persönlichem Skizzenbuch.
bienz_A_bild_13,Bodystudies,2017,Kohle und Fineliner auf Papier,Aktskizzen und Skulpturen im Museum.
bienz_A_bild_14,Legobaum,2016,Acryl auf Papier,Arbeit im Vorkursfach Form und Farbe zum Thema Op Art.
bienz_A_bild_15,Spacycle,2016,Acryl auf Papier,Arbeit im Vorkursfach Form und Farbe zum Thema Schwarz/Weiss und Raum.
bienz_A_bild_16,Mountainer,2016,Acryl auf Papier,Arbeit im Vorkursfach Form und Farbe zum Thema Surreale Landschaft.
bienz_A_bild_17,Fleischquader,2017,Öl auf Leinwand,"Fleischquader, 2017, Öl auf Leinwand. Arbeit im Vorkursfach Form und Farbe zum Thema Hyperrealismus"
bienz_A_bild_18,Überwachung,2017,Pastellölkreide auf Papier,"Freie Arbeit entstanden aus Frustration darüber, keine Ideen zu haben."